Type,No_of_Bills,Timestamp,Invoice_No_,Staff,Name,Phone,Covers
Details,,2024-10-10 00:53:13+00:00,3016,MK,,,0.0
Details,,2024-10-03 21:50:34+00:00,2923,MK,,,0.0
Details,,2024-10-09 15:58:47+00:00,3005,MK,,,0.0
Details,,2024-10-12 23:16:44+00:00,3064,TD,,,0.0
Details,,2024-10-12 21:20:09+00:00,3054,MK,,,0.0
Details,,2024-10-13 22:59:01+00:00,3093,MK,,,0.0
Details,,2024-10-13 22:04:11+00:00,3086,SK,,,0.0
Details,,2024-10-05 20:30:01+00:00,2953,SK,,,0.0
Details,,2024-10-15 22:07:52+00:00,3112,SK,,,0.0
Details,,2024-10-10 22:12:48+00:00,3022,MK,,,0.0
Details,,2024-10-12 21:34:37+00:00,3055,MK,,,0.0
Details,,2024-10-17 21:03:54+00:00,3137,MK,,,0.0
Details,,2024-10-06 22:43:43+00:00,2981,MK,,,0.0
Details,,2024-10-05 20:16:00+00:00,2952,SK,,,0.0
Details,,2024-10-10 20:27:50+00:00,3018,SK,,,0.0
Details,,2024-10-09 22:31:24+00:00,3011,MK,,,0.0
Details,,2024-10-15 22:44:46+00:00,3114,SM,,,0.0
Details,,2024-10-05 21:03:21+00:00,2954,SK,,,0.0
Details,,2024-10-06 22:47:03+00:00,2982,SK,,,0.0
Details,,2024-10-03 22:54:13+00:00,2928,MK,,,0.0
Details,,2024-10-03 21:53:20+00:00,2924,SK,,,0.0
Details,,2024-10-13 20:54:13+00:00,3082,TD,,,0.0
Details,,2024-10-14 00:07:23+00:00,3099,TD,,,0.0
Details,,2024-10-09 21:51:55+00:00,3008,TD,,,0.0
Details,,2024-10-09 21:18:38+00:00,3007,TD,,,0.0
Details,,2024-10-17 22:43:09+00:00,3140,MK,,,0.0
Details,,2024-10-05 23:56:49+00:00,2965,SK,,,0.0
Details,,2024-10-03 22:59:34+00:00,2929,SK,,,0.0
Details,,2024-10-03 23:04:35+00:00,10843,MK,,,0.0
Details,,2024-10-04 22:37:34+00:00,2945,MK,,,0.0
Details,,2024-10-09 22:36:26+00:00,3012,TD,,,0.0
Details,,2024-10-16 00:39:57+00:00,11617,SK,,,0.0
Details,,2024-10-13 22:11:03+00:00,3088,MK,,,0.0
Details,,2024-10-07 22:42:43+00:00,2989,SM,,,0.0
Details,,2024-10-13 21:13:01+00:00,3083,TD,,,0.0
Details,,2024-10-14 22:08:16+00:00,3101,SM,,,0.0
Details,,2024-10-12 21:04:17+00:00,3053,TD,,,0.0
Details,,2024-10-02 00:49:03+00:00,10723,SK,,,0.0
Details,,2024-10-01 22:52:28+00:00,10710,SK,,,0.0
Details,,2024-10-06 15:46:38+00:00,10995,SM,,,0.0
Details,,2024-10-16 14:17:30+00:00,11626,MK,,,0.0
Details,,2024-10-08 19:50:52+00:00,11117,SK,,,0.0
Details,,2024-10-09 00:08:17+00:00,11143,SM,,,0.0
Details,,2024-10-01 21:40:14+00:00,10697,SK,,,0.0
Details,,2024-10-08 20:59:18+00:00,11127,SK,,,0.0
Details,,2024-10-04 14:48:44+00:00,10858,TD,,,0.0
Details,,2024-10-01 23:39:43+00:00,10716,SM,,,0.0
Details,,2024-10-11 23:45:58+00:00,11298,SK,,,0.0
Details,,2024-10-16 20:37:53+00:00,11655,SK,,,0.0
Details,,2024-10-11 23:47:21+00:00,3043,TB,,,0.0
Details,,2024-10-11 21:52:23+00:00,3034,SK,,,0.0
Details,,2024-10-16 22:04:19+00:00,3126,SK,,,0.0
Details,,2024-10-02 00:43:38+00:00,10722,SK,,,0.0
Details,,2024-10-16 17:06:48+00:00,3122,TD,,,0.0
Details,,2024-10-11 23:40:35+00:00,3041,TD,,,0.0
Details,,2024-10-02 00:19:59+00:00,2913,SM,,,0.0
Details,,2024-10-16 23:50:38+00:00,3132,MK,,,0.0
Details,,2024-10-13 15:49:57+00:00,3078,TB,,,0.0
Details,,2024-10-11 22:56:59+00:00,3038,TD,,,0.0
Details,,2024-10-16 23:00:27+00:00,3128,TD,,,0.0
Details,,2024-10-12 14:56:21+00:00,3047,TD,,,0.0
Details,,2024-10-16 20:57:03+00:00,3125,SK,,,0.0
Details,,2024-10-13 13:53:07+00:00,3071,MK,,,0.0
Details,,2024-10-08 20:35:51+00:00,2997,SK,,,0.0
Details,,2024-10-13 22:23:42+00:00,3089,MK,,,0.0
Details,,2024-10-17 15:15:49+00:00,3133,SM,,,0.0
Details,,2024-10-13 15:40:02+00:00,3077,SK,,,0.0
Details,,2024-10-13 15:36:37+00:00,3076,MK,,,0.0
Details,,2024-10-08 22:21:26+00:00,3001,TD,,,0.0
Details,,2024-10-08 21:46:38+00:00,3000,SK,,,0.0
Details,,2024-10-11 21:30:50+00:00,3031,SK,,,0.0
Details,,2024-10-06 15:05:50+00:00,2966,SM,,,0.0
Details,,2024-10-11 21:37:32+00:00,3032,SK,,,0.0
Details,,2024-10-13 15:32:05+00:00,3074,TD,,,0.0
Details,,2024-10-01 22:30:43+00:00,2908,TD,,,0.0
Details,,2024-10-13 15:53:33+00:00,3079,MK,,,0.0
Details,,2024-10-01 21:46:07+00:00,2905,SM,,,0.0
Details,,2024-10-12 13:37:58+00:00,3045,MK,,,0.0
Details,,2024-10-11 23:24:58+00:00,3040,SM,,,0.0
Details,,2024-10-09 01:09:45+00:00,3004,SK,,,0.0
Details,,2024-10-08 15:40:21+00:00,2994,SM,,,0.0
Details,,2024-10-16 23:02:28+00:00,3130,TD,,,0.0
Details,,2024-10-05 15:22:43+00:00,2950,MK,,,0.0
Details,,2024-10-16 23:00:42+00:00,3129,TD,,,0.0
Details,,2024-10-11 22:50:11+00:00,3037,TD,,,0.0
Details,,2024-10-11 21:13:12+00:00,3029,SM,,,0.0
Details,,2024-10-13 15:33:32+00:00,3075,SK,,,0.0
Details,,2024-10-13 14:20:49+00:00,3072,MK,,,0.0
Details,,2024-10-01 20:45:40+00:00,2902,SM,,,0.0
Details,,2024-10-13 14:51:08+00:00,3073,TD,,,0.0
Details,,2024-10-05 15:21:30+00:00,2949,TD,,,0.0
Details,,2024-10-16 23:27:58+00:00,3131,SK,,,0.0
Details,,2024-10-11 23:00:44+00:00,11289,SK,,,0.0
Details,,2024-10-08 21:29:03+00:00,2999,SM,,,0.0
Details,,2024-10-01 22:18:55+00:00,2907,SK,,,0.0
Details,,2024-10-08 23:37:09+00:00,3002,SK,,,0.0
Details,,2024-10-13 15:58:16+00:00,3080,TD,,,0.0
Details,,2024-10-11 22:17:30+00:00,3035,SK,,,0.0
Details,,2024-10-16 15:09:58+00:00,3121,TD,,,0.0
Details,,2024-10-02 00:38:03+00:00,2914,SK,,,0.0
Details,,2024-10-16 14:36:07+00:00,3120,TD,,,0.0
Details,,2024-10-01 21:10:36+00:00,2903,SK,,,0.0
Details,,2024-10-12 16:03:11+00:00,3048,MK,,,0.0
Details,,2024-10-01 22:10:38+00:00,2906,SM,,,0.0
Details,,2024-10-12 14:03:07+00:00,3046,MK,,,0.0
Details,,2024-10-17 15:37:48+00:00,3134,SM,,,0.0
Details,,2024-10-11 20:35:49+00:00,3028,SM,,,0.0
Details,,2024-10-01 23:48:26+00:00,2912,SM,,,0.0
Details,,2024-10-16 22:12:26+00:00,3127,TD,,,0.0
Details,,2024-10-01 23:38:07+00:00,2910,SM,,,0.0
Details,,2024-10-08 15:48:57+00:00,2995,TD,,,0.0
Details,,2024-10-12 16:03:47+00:00,3049,TD,,,0.0
Details,,2024-10-11 21:40:03+00:00,11273,UU,,,0.0
Details,,2024-10-16 20:31:50+00:00,3123,TD,,,0.0
Details,,2024-10-12 00:21:46+00:00,3044,TD,,,0.0
Details,,2024-10-11 21:26:25+00:00,11267,TD,,,0.0
Details,,2024-10-11 22:20:12+00:00,3036,TD,,,0.0
